「実験心理学の父」と呼ばれるドイツ人心理学者。内観法を重視した。,ヴィルヘルム・ヴント,
画像付き。キク科。秋。,ブタクサ,images/bot/butakusa.jpg
画像付き。キク科。秋。,フジバカマ,images/bot/huziba.jpg
画像付き。秋。,キツネノマゴ,images/bot/kituneno.jpg
画像付き。アゼナ科。秋。,ウリクサ,images/bot/urikusa.jpg
画像付き。ナス科。秋。,イヌホオズキ,images/bot/inuho.jpg
画像付き。ヒユ科。秋。アカザとは異なり若葉が白くなる。,シロザ,images/bot/siroza.jpg
画像付き。ヒユ科。秋。,イノコズチ,images/bot/inoko.jpg
画像付き。タデ科。秋。,イヌタデ,images/bot/inuta.jpg
画像付き。タデ科。秋。,オオケタデ,images/bot/ooke.jpg
画像付き。アサ科。秋。,カナムグラ,images/bot/kanamu.jpg
画像付き。イネ科。秋。,チヂミザサ,images/bot/tidimi.jpg
画像付き。イネ科。秋。,キンエノコロ,images/bot/kinne.jpg
画像付き。イネ科。秋。ススキに似るが本種の方がふさふさしていて、株を作らない。,オギ,images/bot/ogi.jpg
画像付き。イネ科。秋。,カゼクサ（ミチシバ,images/bot/kazekusa.jpg
画像付き。イネ科。秋。,ジュズダマ,images/bot/zyuzu.jpg
画像付き。秋。,カヤツリグサ,images/bot/kayatu.jpg
画像付き。キジカクシ科。秋。,ツルボ（サンダイガサ）,images/bot/turubo.jpg
画像付き。キジカクシ科。秋。,ヤブラン,images/bot/yaburan.jpg
画像付き。秋。白いものはシロバナマンジュシャゲ。,ヒガンバナ（マンジュシャゲ）,images/bot/higan.jpg
画像付き。イネ科。,メダケ,images/bot/medake.jpg
画像付き。イネ科。,クマザサ,images/bot/kumaza.jpg
画像付き。ウラボシ科。シダ植物。,ノキシノブ,images/bot/nokisi.jpg
画像付き。イノモトソウ科。シダ植物。,ホウライシダ,images/bot/houraisi.jpg
画像付き。メシダ科。シダ植物。,イヌワラビ,images/bot/inuwa.jpg
画像付き。トクサ科。シダ植物。,スギナ,images/bot/sugina.jpg
画像付き。スギゴケ科。セン類。,コスギゴケ,images/bot/kosugi.jpg
画像付き。ハリガネゴケ科。セン類。,ギンゴケ,images/bot/gingoke.jpg
画像付き。タイ類。,ゼニゴケ,images/bot/zenigo.jpg
画像付き。ジャゴケ科。タイ類。,ヒメジャゴケ,images/bot/himeja.jpg
「ー（くるわ）」「ー清（カクセイ）」,郭（廓）,
「ーく（はく）」「ー痰（カクタン）」,喀,
「ー（はなわ）」「ーい（かたい）」,塙,
「ーべる（くらべる）」「ー量（コウリョウ）」「ー差（カクサ）」,較,
「ーする（かくする）」「ー定（カクテイ）」,劃（画）,
「ー（かみかざり）」「巾ー（キンカク）」,幗,
「ーむ（つつしむ）」「ー（まこと）」「誠ー（セイカク）」,愨,
「ーむ（つかむ）」,摑,
「ーい（あかい）」「ーく（かがやく）」「ー奕（カクヤク、カクエキ）」,赫,
「ー（ひつぎ、うわひつぎ）」「棺ー（カンカク）」,槨（椁）,
「ー乱（カクラン）」「ーか（にわか）」,霍（一つ目は癨でも可）,
「ーす（おどす）」「ー怒（カクド）」「威ー（イカク）」,嚇,
「ーく（おく）」「ー筆（カクヒツ）」,擱,
「ーる（みみきる、くびきる）」「ー首（カクシュ）」,馘,
「尺ー（セキカク、しゃくとりむし）」,蠖,
「ーべる（しらべる）」「検ー（ケンカク）」,覈,
「ーてる（あわてる）」「ー鑠(カクシャク)」,矍,
「ーう（さらう）」「ーむ（つかむ）」「ー取（カクシュ）」,攫,
「ー（うそ）」「ー鳩大鵬を笑う（ガクキュウタイホウをわらう）」,鷽,
「嶽（旧字体）」,丘,
画像付き。キク科。春。,サイネリア（シネラリア）,images/bot/saineria.jpg
画像付き。キク科。春。,キンセンカ（カレンデュラ）,images/bot/kinsenka.jpg
画像付き。キク科。春。ノースポールによく似る。,デージー（ヒナギク）,images/bot/hinagiku.jpg
画像付き。キク科。春。,ディモルフォセカ,images/bot/dhimoru.jpg
画像付き。キク科。春。,ミヤコワスレ,images/bot/miyakowasure.jpg
画像付き。キク科。春。,ヤグルマギク,images/bot/yaguru.jpg
画像付き。キク科。夏。,ダリア,images/bot/daria.jpg
画像付き。キク科。夏。,ヒャクニチソウ（ジニア）,images/bot/zinia.jpg
画像付き。キク科。夏。,マリーゴールド,images/bot/mari-go-rudo.jpg
画像付き。キク科。夏。,コスモス,images/bot/kosumosu.jpg
画像付き。キク科。秋。,大ギク,images/bot/oogiku.jpg
画像付き。アゼナ科。夏。,トレニア,images/bot/torenia.jpg
画像付き。キキョウ科。春。,ロベリア,images/bot/roberia.jpg
画像付き。秋。,キキョウ,images/bot/kikyou2.jpg
画像付き。シソ科。秋。,サルビア（ヒゴロモソウ）,images/bot/sarubia.jpg
画像付き。シソ科。秋。,メキシカンセージ,images/bot/mekisikanse-zi.jpg
画像付き。オオバコ科。,キンギョソウ,images/bot/kingyosou.jpg
画像付き。クマツヅラ科。夏。,バーベナ（ビジョザクラ）,images/bot/ba-bena.jpg
画像付き。夏。,ノウゼンカズラ,images/bot/nouzenkazura.jpg
画像付き。ナス科。夏。,ペチュニア,images/bot/petyunia.jpg
画像付き。ナス科。夏。,ホオズキ,images/bot/hoozuki.jpg
画像付き。ムラサキ科。春。,ワスレナグサ,images/bot/wasurena.jpg
画像付き。ムラサキ科。春。,ネモフィラ,images/bot/nemofira.jpg
画像付き。キョウチクトウ科。夏。,ニチニチソウ,images/bot/nitinitisou.jpg
画像付き。アカネ科。夏。,ペンタス,images/bot/pentasu.jpg
画像付き。サクラソウ科。,プリムラ,images/bot/purimura.jpg
画像付き。サクラソウ科。春。,シクラメン（カガリビバナ）,images/bot/sikuramenn.jpg
画像付き。ツツジ科。春。,クルメツツジ,images/bot/kurumetutuzi.jpg
画像付き。ツツジ科。春。,アザレア,images/bot/azarea.jpg
画像付き。ツツジ科。,エリカ,images/bot/erika.jpg
画像付き。ハナシノブ科。春。,シバザクラ,images/bot/sibazakura.jpg
画像付き。ツリフネソウ科。夏。,インパチエンス（アフリカホウセンカ）,images/bot/inpatiensu.jpg
画像付き。ツリフネソウ科。夏。,ホウセンカ,images/bot/housenka.jpg
画像付き。ハマミズナ科。春。,マツバギク,images/bot/matubagiku.jpg
画像付き。ヒユ科。夏。,センニチソウ,images/bot/sennnitisou.jpg
画像付き。ヒユ科。夏。,ケイトウ,images/bot/keitou.jpg
画像付き。スベリヒユ科。夏。,ポーチュラカ,images/bot/po-tyuraka.jpg
画像付き。スベリヒユ科。夏。,マツバボタン,images/bot/matubabotan.jpg
「ーく（おどろく）」「ーー（ガクガク）」,愕（咢）,
「ー（うてな）」「花ー（カガク）」,萼,
「棣ー（テイガク）」,鄂,
「侃々ー（カンカンガクガク）」,諤,
「ー（たに、みぞ）」「大ー（タイガク）」,壑,
「ー（つば）」「金ー（キンつば）」,鍔,
「ー（わに）」「ー魚（ガクギョ）」,鰐,
「ー（みさご）」「ー視（ガクシ）」,鶚,
「ー（はぐき）」,齶,
「ー（かけす）」,鵥,
「ー（かざり）」,錺,
「ー（かし、音読みは無し）」,樫,
「ー（かじか）」,鮖,
「ー（かすがい）」,鎹,
「ー（かずのこ）」,鯑,
「ー（かすり、かせ）」,綛,
「ー（かすり）」,纃,
「ー（かせ）」,桛,
「ー目（カツモク）」「ーる（けずる）」「ーげる（こそげる）」,刮,
「ー弧（カッコ）」「ー約（カツヤク）」「ーる（くくる、くびる）」「ーれる（くびれる）」,括,
「ーる（しかる）」「ー采（カッサイ）」「ー火（カッコ）」,喝,
「ー（ほこ）」「ーー（カツカツ）」,戛,
「ーく（かわく）」「ーする（かっする）」「ー望（カツボウ）」,渇,
「ー（はず、やはず）」,筈,
「ーしい（かまびすしい）」「噪ー（ソウカツ）」,聒,
「ー（おたまじゃくし）」「ー蝓（カツユ、なめくじ）」,蛞,
「ーい（わるがしこい）」「獪ー（カイカツ）」「狡ー（コウカツ）」,猾,
「ー色（かちいろ）」「ー（ぬのこ）」,褐,
「ー鼓（カッコ）」「ー（えびす）」,羯,
「ー（さそり、きくいむし、すくもむし）」「蛇ー（ダカツ）」,蝎,
「ー如（カツジョ）」「ーい（ひろい）」「ーける（ひらける）」,豁,
「管ー（カンカツ）」「ー（くさび）」,轄,
「ー歩（カッポ）」「ーい（ひろい）」,闊,
「ー鼠（カッソ）」「ーい（わるがしこい、さとい）」,黠,
「ー座（さそりザ）」,蠍,
「ー（かま）」「ー竈（フソウ）」,釜,
「ー（かます、穀物を入れるための袋のこと）」,叺,
「ー（かみしも）」,裃,
「ーる（かる）」「芟ー（サンガイ）」,刈,
「ー（ガロン）」,呏,
「ー（あげまき）」「ー女（カンジョ）」,丱,
「ーる（けずる）」「ーむ（きさむ）」「ー本（カンポン）」,刊,
「ーす（おかす）」「ー物（カンブツ）」「ー佞（カンネイ）」,奸,
「ーく（ふせぐ）」「ー禦（カンギョ）」,扞（捍）,
「罐（旧字体）」「ー（かま、ほとぎ、カン）」,缶,
「ー（あな）」「ー軻（カンカ）」,坎,
「ーうする（まっとうする）」,完,
画像付き。オシロイバナ科。春、秋。,ブーゲンビリア,images/bot/bu-genbiria.jpg
画像付き。アブラナ科。春、秋。,スイートアリッサム,images/bot/sui-toarissamu.jpg
画像付き。アブラナ科。春。,ハボタン,images/bot/habotan.jpg
画像付き。ムクロジ科。夏。,フウセンカズラ,images/bot/huusenkazura.jpg
画像付き。アオイ科。夏。,ハイビスカス,images/bot/haibisukasu.jpg
画像付き。アオイ科。夏。,タチアオイ,images/bot/tatiaoi.jpg
画像付き。フクロソウ科。春、秋。,ゼラニウム,images/bot/zeraniumu.jpg
画像付き。スミレ科。春。,パンジー,images/bot/panzi-.jpg
画像付き。スミレ科。春。,ビオラ,images/bot/biora.jpg
画像付き。シュウカイドウ科。,ベゴニア,images/bot/begonia.jpg
画像付き。夏。,シュウカイドウ,images/bot/syuukaidou.jpg
画像付き。ボタン科。初夏。,シャクヤク,images/bot/syakuyaku.jpg
画像付き。マメ科。春。,ラッセルルピナス,images/bot/rasseru.jpg
画像付き。マメ科。,オジキソウ,images/bot/ozikisou.jpg
画像付き。キンポウゲ科。夏。,クレマチス,images/bot/kurematisu.jpg
画像付き。キンポウゲ科。春。,クリスマスローズ,images/bot/kurisumasuro-zu.jpg
画像付き。キンポウゲ科。春。,アネモネ,images/bot/anemone.jpg
画像付き。キンポウゲ科。春。,ラナンキュラス,images/bot/ranankyurasu.jpg
画像付き。キジカクシ科。春。,ヒヤシンス,images/bot/hiyasinsu.jpg
画像付き。キジカクシ科。春。,ムスカリ,images/bot/musukari.jpg
画像付き。ヒガンバナ科。春。,スイセン,images/bot/suisen.jpg
画像付き。ヒガンバナ科。春。秋。,アマリリス,images/bot/amaririsu.jpg
画像付き。ヒガンバナ科。春。,クンシラン,images/bot/kunsiran.jpg
画像付き。ヒガンバナ科。夏。,アガパンサス,images/bot/agapansasu.jpg
画像付き。夏。,カンナ,images/bot/kannna.jpg
画像付き。アヤメ科。春。,クロッカス,images/bot/kurokkasu.jpg
画像付き。アヤメ科。春。,カキツバタ,images/bot/kakitubata.jpg
画像付き。アヤメ科。夏。,グラジオラス,images/bot/guraziorasu.jpg
画像付き。秋。,イヌサフラン（コルチカム）,images/bot/inusahuran.jpg
画像付き。ラン科。春。,シラン,images/bot/siran.jpg
画像付き。洋ランの一種。,コチョウラン,images/bot/kotyouran.jpg
画像付き。洋ランの一種。,カトレア,images/bot/katorea.jpg
画像付き。洋ランの一種。,デンドロビウム,images/bot/dendorobiumu.jpg
画像付き。洋ランの一種。,シンビジウム,images/bot/sinbiziumu.jpg
画像付き。キク科。夏。ハーブの一種。,カモミール,images/bot/kamomi-ru.jpg
画像付き。シソ科。夏。ハーブの一種。,ラベンダー,images/bot/rabenda-.jpg
画像付き。シソ科。ハーブの一種。,ローズマリー,images/bot/ro-zumari-.jpg
画像付き。シソ科。ハーブの一種。,タイム,images/bot/taimu.jpg
画像付き。ノウゼンハレン科。ハーブの一種。,ナスタチウム（キンレンカ）,images/bot/kinrenka.jpg
画像付き。ヒガンバナ科。春。ハーブの一種。,チャイブ,images/bot/tyaibu.jpg
「ー（ひでり）」「ー魃（カンバツ）」「ーく（かわく）」,旱,
「ーれる（くれる）」「ー昃（カンショク）」,旰,
「ー菌（カンキン）」「ー（てこ）」,杆,
「ーに（まれに）」「ー（とりあみ）」「旌ー（セイカン）」,罕,
「ー諤(カンガク)」「ーい（つよい）」,侃,
「ー（はこ）」「ー数（カンスウ）」,函,
「ー（つぼ、るつぼ）」「ー堝（カンカ、るつぼ）」,坩,
「ー（みな）」「ーく（ことごとく）」,咸,
「ーらか（あきらか）」「ーきい（おおきい）」「輪ー（リンカン）」,奐,
「ー（みだら、よこしま）」「ー夫（カンプ）」「ーしい（かしましい）」,姦,
「ー官（カンガン）」「ーえる（つかえる）」,宦,
「ー（みかん、こうじ）」「ー橘類（カンキツルイ）」,柑,
「ーぶ（えらぶ）」「ー蒲塞（カンボジア）」,柬,
「ー（さお、ふだ）」「ー首（カンシュ）」,竿,
「ーい（あらい）」「ー婦（カンプ）」,悍,
「ー（しおり）」,栞,
「ーう（あらう）」「ー腸（カンチョウ）」,浣,
「下ー（ゲカン）」「脾ー（ヒカン）」,疳,
「ー（い、むしろ）」「ー爾（カンジ）」,莞,
「ーす（うるおす、ひたす）」「ー養（カンヨウ）」,涵,
「ー（あかがい）」,蚶,
「ーく（わめく）」「ーぶ（よぶ）」「ー起（カンキ）」,喚,
「ー声（カンセイ）」「ーぶ（さけぶ）」「吶ー（トッカン）」,喊,
画像付き。キク科。春。,マーガレット（モクシュンギク）,images/bot/ma-garetto.jpg
画像付き。キク科。,ガーベラ,images/bot/ga-bera.jpg
画像付き。キク科。,スプレーギク,images/bot/supure-giku.jpg
画像付き。キク科。春、秋。,チョコレートコスモス,images/bot/tyokore-togiku.jpg
画像付き。ナデシコ科。,カーネーション,images/bot/ka-ne-syon.jpg
画像付き。ナデシコ科。春。,ストック,images/bot/sutokku.jpg
画像付き。オトギリソウ科。,コボウズオトギリ（ヒペリカム）,images/bot/kobouzuotogiri.jpg
画像付き。マメ科。春。,スイートピー,images/bot/sui-topi-.jpg
画像付き。ケシ科。春。,アイスランドポピー,images/bot/aisurandopopi-.jpg
画像付き。アヤメ科。春。,フリージア,images/bot/huri-zia.jpg
画像付き。ヒガンバナ科。,ネリネ（ダイヤモンドリリー）,images/bot/nerine.jpg
画像付き。イヌサフラン科。,グロリオサ,images/bot/guroriosa.jpg
画像付き。ユリズイセン科。,アルストロメリア,images/bot/arusutoromeria.jpg
画像付き。サトイモ科。,カラー,images/bot/kara-.jpg
画像付き。,ユリ,images/bot/yuri.jpg
画像付き。着生サボテンの一種。,月下美人,images/bot/gekkabizin.jpg
画像付き。サボテン科。,シャコバサボテン,images/bot/syakobasaboten.jpg
画像付き。ベンケイソウ科。,エケベリア,images/bot/ekeberia.jpg
画像付き。ベンケイソウ科。,カゲツ（カネノナルキ）,images/bot/kagetu.jpg
画像付き。ベンケイソウ科。,カランコエ,images/bot/karankoe.jpg
画像付き。ベンケイソウ科。,グラプトペタルム,images/bot/guraputopetarumu.jpg
画像付き。ベンケイソウ科。,ミセバヤ,images/bot/misebaya.jpg
画像付き。トウダイグサ科。夏。,ハナキリン,images/bot/hanakirin.jpg
画像付き。ハマミズナ科。,コノフィツム,images/bot/konofitumu.jpg
画像付き。キク科。,グリーンネックレス,images/bot/guri-nnekkuresu.jpg
画像付き。ツルボラン科。,アロエ,images/bot/aroe.jpg
画像付き。ツルボラン科。,ハオルシア,images/bot/haorusia.jpg
画像付き。ウコギ科。,ヘデラ（セイヨウキヅタ、アイビー）,images/bot/hedera.jpg
画像付き。クマツヅラ科。,デュランタ,images/bot/dexyuranta.jpg
画像付き。トウダイグサ科。,ポインセチア,images/bot/poinsetia.jpg
画像付き。シソ科。,コリウス,images/bot/koriusu.jpg
画像付き。アオイ科。,パキラ,images/bot/pakira.jpg
画像付き。ウコギ科。,シェフレラ,images/bot/syehurera.jpg
画像付き。クワ科。,インドゴムノキ,images/bot/indogomunoki.jpg
画像付き。クワ科。,ベンジャミン,images/bot/benjamin.jpg
画像付き。パイナップル科。,チランジア（エアプランツ）,images/bot/tiranzia.jpg
画像付き。ヤシ科。,アレカヤシ,images/bot/arekayasi.jpg
画像付き。キジカクシ科。,サンセベリア,images/bot/sanseberia.jpg
画像付き。キジカクシ科。,オリヅルラン,images/bot/oridururan.jpg
画像付き。イノモトソウ科。シダ植物。,アジアンタム,images/bot/aziantamu.jpg
画像付き。サトイモ科。,ディフェンバキア,images/bot/dhifenbakia.jpg
画像付き。サトイモ科。,ポトス,images/bot/potosu.jpg
画像付き。サトイモ科。,アンスリウム,images/bot/ansuriumu.jpg
画像付き。サトイモ科。,カラジウム,images/bot/karajiumu.jpg
画像付き。クズウコン科。,カラテア,images/bot/karatea.jpg
画像付き。キジカクシ科。,ドラセナコンシンネ,images/bot/dorasenakonsinne.jpg
画像付き。キジカクシ科。,ドラセナフラグランス,images/bot/dorasenahuraguransu.jpg
画像付き。サトイモ科。,モンステラ,images/bot/monsutera.jpg
「ーえる（こたえる、こらえる）」「ーる（たまる）」「ー忍（カンニン）」「ー能（タンノウ）」,堪,
「ー（あな、ほらあな）」「ーめる（はめる）」「ー入（カンニュウ）」,嵌,
「ーぶ（えらぶ）」「ー選（カンセン）」,揀,
「ー（まこと）」「ー待（カンタイ）」,款,
「ー散（カンサン）」「ー発（カンパツ）」「ーける（とける）」,渙,
「ー（わら）」「禾ー（カカン）」,稈,
「ー（たけなわ）」「ー春（カンシュン）」,酣,
「ーか（しずか）」「ー（ひま）」「ー話（カンワ）」,閑,
「ーつ（かつ）」「ー定（カンテイ）」,戡,
「ーらか（あきらか）」「ー発（カンパツ）」,煥,
「ーう（やしなう）」「ー圉（カンギョ）」,豢,
「ー（はぎ、すね、あばら）」,骭,
「ー（ならわし）」「ー行（カンコウ）」,慣,
「ー口（カンコウ）」「ーむ（はさむ）」,箝（拑）,
「ー（くつわ）」「ーえる（くわえる）」「ーむ（ふくむ）」,銜,
「ー（かんぬき、からくり）」「關（旧字体）」,関,
「ーう（ならう）」「ーやか（みやびやか）」「ー雅（カンガ）」,嫺,
「ー（たに、たにみず）」「ー谷（カンコク）」,澗,
「ーする（カンする）」「ーじる（とじる）」「ー口（カンコウ）」,緘,
「ーい（まるい）」「ーる（めぐる）」「ー繞（カンジョウ）」,圜,
「ー宇（カンウ）」「ー海（カンカイ）」,寰,
「ーむ（うらむ）」「遺ー（イカン）」,憾,
「ーかす（うごかす）」「震ー（シンカン）」,撼,
「ー欖石(カンランセキ)」,橄,
「ーう（あらう）」「ー衣（カンイ）」,澣（浣）,
「ー（たらい）」「ー沐（カンモク）」,盥,
画像付き。ツバキ科。春。,ヤブツバキ（ヤマツバキ）,images/bot/yabutubaki.jpg
画像付き。モクセイ科。春。,レンギョウ,images/bot/rengyou.jpg
画像付き。モクセイ科。春。,ライラック（リラ、ムラサキハシドイ）,images/bot/rairakku.jpg
画像付き。ツツジ科。春。本種に似るがやや色が淡いサツキよりも早く、4〜5月に花を咲かせる。,オオムラサキ,images/bot/oomurasaki.jpg
画像付き。ツツジ科。春。,アズマシャクナゲ,images/bot/azumasyakunage.jpg
画像付き。ツツジ科。春。,ドウダンツツジ,images/bot/doudantutuzi.jpg
画像付き。ミズキ科。春。,ハナミズキ（アメリカヤマボウシ）,images/bot/hanamizuki.jpg
画像付き。春。,ジンチョウゲ,images/bot/zintyouge.jpg
画像付き。ジンチョウゲ科。春。,ミツマタ,images/bot/mitumata.jpg
画像付き。ヤナギ科。春。,ポプラ（セイヨウハコヤナギ）,images/bot/popura.jpg
画像付き。ヤナギ科。春。,シダレヤナギ,images/bot/sidareyanagi.jpg
画像付き。春。,ヤマモモ,images/bot/yamamomo.jpg
画像付き。バラ科。春。,コデマリ,images/bot/kodemari.jpg
画像付き。バラ科。春。,ユキヤナギ,images/bot/yukiyanagi.jpg
画像付き。バラ科。春。,サトザクラ,images/bot/satozakura.jpg
画像付き。バラ科。春。,ヤマブキ,images/bot/yamabuki.jpg
画像付き。バラ科。春。,ボケ,images/bot/boke.jpg
画像付き。ニレ科。春。,ハルニレ（エルム）,images/bot/harunire.jpg
画像付き。ニレ科。春。,ケヤキ,images/bot/keyaki.jpg
画像付き。マメ科。春。,エニシダ,images/bot/enisida.jpg
画像付き。マメ科。春。つるは右巻きで、ヤマフジとは逆。,フジ（ノダフジ）,images/bot/huzi.jpg
画像付き。マメ科。春。,ハナズオウ,images/bot/hanazuou.jpg
画像付き。春。,ユズリハ,images/bot/yuzuriha.jpg
画像付き。春。,ボタン,images/bot/botan.jpg
画像付き。スズカケノキ科。春。,プラタナス（モミジバスズカケノキ）,images/bot/puratanasu.jpg
画像付き。フウ科。春。,モミジバソウ（アメリカフウ）,images/bot/amerikahuu.jpg
画像付き。春。,ツゲ,images/bot/tuge.jpg
画像付き。メギ科。春。,ヒイラギナンテン,images/bot/hiiraginanten.jpg
画像付き。クスノキ科。春。,ゲッケイジュ（ローレル）,images/bot/gekkeizyu.jpg
画像付き。春。,ロウバイ（ソシンロウバイ？）,images/bot/roubai.jpg
画像付き。春。,モクレン,images/bot/mokuren.jpg
画像付き。モクレン科。春。,ハクモクレン,images/bot/hakumokuren.jpg
画像付き。モクレン科。春。,コブシ,images/bot/kobusi.jpg
画像付き。モクレン科。春。,シデコブシ,images/bot/sidekobusi.jpg
平安時代に盛んであった神仏習合の思想である本地垂迹説により制作された、薬師寺の像。,僧形八幡神像,
大津三井寺の黄不動、高野山の赤不動、京都青蓮院の青不動の三つの不動明王。平安時代の密教が盛んで不動信仰の厚かったころの画像。,三不動,
日本最初の勅撰漢詩集。嵯峨天皇の勅命を受けて制作された。二番目は文華秀麗集、三番目は経国集である。,凌雲集,
唐風の書の名手。空海、橘逸勢、嵯峨天皇からなる。,三筆,
律令制度の大学寮における四道（主要な４学科のことで、他に明経、明法、算がある）の一つ。中国の正史である史記、漢書、後漢書、三国志、晉書など、あるいは文選、詩文等の教授をした。,紀伝道,
 平安時代、各氏族が大学寮の近くに設置して子弟教育の便宜をはかった公認の施設。橘氏の学館院や和気氏の弘文院、藤原氏の勧学院などが有名。,大学別曹,
景戒が著した日本最古の説話集。,日本霊異記,
イギリスの経済学者。食糧は算術級数的にしか増加しないのに人口は幾何級数的に増加するため、過剰人口による社会的貧困と悪徳が必然的に発生すると主張した。『人口論』で知られる。,トマス・マルサス,
イギリスの生物学者。ダーウィンの『種の起源』を擁護し、彼に先んじて人が類人猿から進化したことを唱えた。「ダーウィンの番犬」とも。,トマス・ハクスリー,
イギリスの博物学者。ダーウィンとは独立に自然選択説を思い付き『種の起源』を出版したが、これをダーウィンの功績に帰してダーウィニズムと呼んだ。東洋区とオーストラリア区の境界線に名を残す。,アルフレッド・ラッセル・ウォレス,
動物地理学上、東洋区とオーストラリア区とを区分する境界として提唱された動物の分布境界線。マレー諸島の淡水魚の研究に因る。,ウェーバー線,
本州と北海道の間に引かれた生物分布境界線。1880年代に英国の貿易商が鳥類の分布から提唱した。ヒグマ・シマリスの南限、サル・ツキノワグマ・カモシカなどの北限。北海道の北にある八田（宗谷）線も知られる。,ブラキストン線,
1968年、木村資生により提唱された進化に関する学説。遺伝子の塩基配列の突然変異は、遺伝子の種類や場所にかかわらず一定の頻度で生じると考える。生存に有利な変異が自然選択されるだけでなく、自然選択に対して中立な（有利でも不利でもない）変異が偶然的要因である遺伝的浮動によって集団内に蓄積し、これが進化の主要な要因とみなされるという考え。,中立説,
DNAの塩基配列や蛋白質のアミノ酸配列などは一定の速度で変化していると推定されているので、各種生物間で変化量を比較検討することで、祖先からの分岐年代を測定することが可能となる。このときのDNAや蛋白質のこと。,分子時計,
イギリスの生物学者。生物の利他行動を説明する血縁淘汰説や、ゲーム理論を用いて儀式闘争を説明する「進化的に安定な戦略」などの提唱で有名。,ジョン・メイナード＝スミス,
3 個 1 組からなるアミノ酸の塩基配列。,遺伝暗号（コドン）,
ミトコンドリアの起源である原核生物。葉緑体の起源はシアノバクテリア。,αプロテオバクテリア,
J.ラマルクによって提唱された進化説。生物は環境に応じて、よく使用する器官は代を重ねるにつれて発達し、反対に使用しなくなった器官は次第に縮小・退化するという説で、一生の間に得た形質は子孫に伝えられ、代を重ねるにつれて生物が変わっていくとした。獲得形質の遺伝を認めたもので、今日では否定されている,用不用説,
ドイツの動物学者。生物の情報は生殖細胞を経由して遺伝するという生殖質連続説を主張し、獲得形質の遺伝を否定した。また、ネズミの尾を5世代にわたって切断し続けてもそのあとで生れてくるネズミの尾は短くならないことを明らかにした実験を行ったことでも有名。,アウグスト・ワイスマン,
生物の偶発的な遺伝的変異に自然淘汰が作用して進化が起こるという学説。 ドイツのワイスマンにより主張され、獲得形質の遺伝を否定した。,ネオダーウィニズム,
受精卵の遺伝子操作などにより、親の望む外見・知力・体力などを与えられた子供。,デザイナー・ベビー,
ゲノム編集技術を利用して、ある有性生殖を行う生物の特定の遺伝子を改変し、集団の遺伝構成を変更すること。マラリアを媒介する蚊を不妊にする研究が進められている。,遺伝子ドライブ,
イギリスの人類学者。チャールズ・ダーウィンの従兄弟に当たる。『種の起源』に影響を受けて優生学を創始した。統計学においても回帰や相関の概念を提唱し大きな影響を与えた。,フランシス・ゴルトン,
生物の進化において、たとえば体の大型化、貝殻の巻込み方の増大などの傾向を保ったまま進み続けるようにみえる一定の方向性があるとする説。体の大型化についてはコープの法則として成り立つ例が知られるが、一般には性淘汰などによって説明される。,定向進化説,
密接な関係をもつ複数の種が、互いに影響を及ぼし合いながら進化すること。捕食者と被食者や、寄生者と宿主のように利害の対立する関係の場合、一方が進化すると他方がそれに対抗する進化をとげるという軍拡競争の形で進む。これが極端に進行したものをランナウェイ  効果という。,共進化,
生物の種は絶えず進化していなければ絶滅するという仮説。ルイス・キャロルの小説『鏡の国のアリス』内の、「同じ場所にとどまるためには、絶えず全力で走っていなければならない」という言葉にちなむ。有性生殖が行われる理由として、これが持ち出されることがある。すなわち、有性生殖は絶えず新しい組み合わせの遺伝子型を作ることによって、進化速度の速い細菌や寄生者に対抗していると考えるのである。,赤の女王仮説,
動物細胞間の接着に関与する細胞に固定された糖たんぱく質。接着因子の一つで、細胞間の接着部位に分布している。密着結合においてはクローディンが用いられる。,カドヘリン,
ヒト属には繋がらない猿人の一種。乾燥した草原で硬い植物を食べるために歯と顎が巨大に発達し、頭頂部には側頭筋が付くためのゴリラのような矢状稜がある。,パラントロプス,
進化人類学の用語で、脳の進化は生態学的環境ではなく、社会的環境における適応過程であるという仮説。たとえば、縄張りを維持する動物の場合、縄張りの地図を保持するのに特定の脳の記憶機能などが必要となり、このような生態学的環境が脳の進化を促したとする考えに対して、複雑な社会環境こそ脳の大きさの進化とかかわると考える。実際、全脳体積に占める脳の新皮質の体積の比率が霊長類で大きくなっており、また集団の大きさとも相関が見られるという。社会的な相互作用の複雑さは、伴侶となる相手を見つけたり、他者の顔を識別したり、場合によっては情報を操作して他者を欺いたりする社会的技能にも表われている。,社会脳仮説,
脊椎動物のうち、発生の過程で羊膜を生ずる、爬虫類・鳥類・哺乳類の総称。陸上への進出を容易にするように進化したと考えられている。,羊膜類,
脊椎動物のうち魚類を除いた動物の総称。,四肢動物,
毛包などの組織を発達させるタンパク質の遺伝子。胎児の段階で作用する。,ssh(ソニックヘッジホッグ),
脊索を生活史の一時期あるいは終生、尾部にもつ海産無脊椎動物の総称。ホヤ綱・タリア綱とオタマボヤ綱からなる。雌雄同体。,尾索類,
動物が、成体に至る前の幼生型をしたまま成熟し、繁殖する現象。メキシコサンショウウオの幼形成熟体であるアホロートルはよく知られる。,ネオテニー,
